path,calculation,n_scf_blocks,n_symops,nosym_in_deck,n_adsorbate,max_fy_adsorbate,confinement
Co_slab/H2.out,relax,3,16,False,0,,
Co_slab/H2O.out,relax,4,4,False,0,,
Co_slab/s0_O.out,relax,15,1,True,1,0.00049003,EXPLORED
Co_slab/s0_OH.out,relax,16,1,True,2,0.01681003,EXPLORED
Co_slab/slab.out,relax,17,1,True,0,,
Cr_slab/H2.out,relax,3,16,False,0,,
Cr_slab/H2O.out,relax,4,4,False,0,,
Cr_slab/s0_O.out,relax,12,4,False,1,0.0,LOCKED
Cr_slab/s0_OH.out,relax,44,2,False,2,0.0,LOCKED
Cr_slab/s0_OOH.out,relax,82,2,False,3,0.0,LOCKED
Cr_slab/slab.out,relax,16,1,True,0,,
Cu_slab/s0_OH.out,scf,0,1,True,2,,
Cu_slab/s0_OOH.out,relax,6,1,True,3,7.8e-07,ON_PLANE
Fe_slab/H2.out,relax,3,16,False,0,,
Fe_slab/H2O.out,relax,4,4,False,0,,
Fe_slab/s0_O.out,relax,38,1,True,1,3.998e-05,ON_PLANE
Fe_slab/s0_OH.out,relax,51,1,True,2,0.00102913,EXPLORED
Fe_slab/s0_OOH.out,relax,29,1,True,3,1.573e-05,ON_PLANE
Fe_slab/slab.out,relax,20,1,True,0,,
Ir_anchor/H2.out,relax,3,16,False,0,,
Ir_anchor/H2O.out,relax,4,4,False,0,,
Ir_anchor/s0_O.out,relax,34,4,False,1,0.0,LOCKED
Ir_anchor/s0_OH.out,relax,30,2,False,2,0.0,LOCKED
Ir_anchor/s0_OOH.out,relax,60,2,False,3,0.0,LOCKED
Ir_anchor/slab.out,relax,12,1,True,0,,
Mn_slab/H2.out,relax,3,16,False,0,,
Mn_slab/H2O.out,relax,4,4,False,0,,
Mn_slab/s0_O.out,relax,34,1,True,1,2.59e-06,ON_PLANE
Mn_slab/s0_OH.out,relax,46,1,True,2,0.03945789,EXPLORED
Mn_slab/s0_OOH.out,relax,34,1,True,3,0.00234431,EXPLORED
Mn_slab/slab.out,relax,20,1,True,0,,
Ni_slab/H2.out,relax,3,16,False,0,,
Ni_slab/H2O.out,relax,4,4,False,0,,
Ni_slab/s0_O.out,relax,9,1,True,1,4e-08,ON_PLANE
Ni_slab/s0_OH.out,relax,14,1,True,2,8e-08,ON_PLANE
Ni_slab/slab.out,relax,14,1,True,0,,
probe/Co_basin/s0_OH.out,relax,3,1,True,2,0.00078383,EXPLORED
probe/Co_uladder/s0_OH__base.out,scf,1,1,True,2,0.0007811,EXPLORED
probe/Co_uladder/s0_OH__u0.0.out,scf,1,1,True,2,0.00083232,EXPLORED
probe/Co_uladder/s0_OH__u0.5.out,scf,1,1,True,2,0.00082975,EXPLORED
probe/Co_uladder/s0_OH__u1.35.out,scf,1,1,True,2,0.00196184,EXPLORED
probe/Co_uladder/s0_O__base.out,scf,1,1,True,1,1.053e-05,ON_PLANE
probe/Co_uladder/s0_O__u0.0.out,scf,1,1,True,1,3.301e-05,ON_PLANE
probe/Co_uladder/s0_O__u0.5.out,scf,1,1,True,1,2.423e-05,ON_PLANE
probe/Co_uladder/s0_O__u1.35.out,scf,1,1,True,1,0.00012339,EXPLORED
probe/Co_uladder/slab__base.out,scf,1,1,True,0,,
probe/Co_uladder/slab__u0.0.out,scf,1,1,True,0,,
probe/Co_uladder/slab__u0.5.out,scf,1,1,True,0,,
probe/Co_uladder/slab__u1.35.out,scf,1,1,True,0,,
probe/Cr/s0_OH__base.out,scf,1,2,False,2,0.0,LOCKED
probe/Cr/s0_OH__u0.0.out,scf,1,2,False,2,0.0,LOCKED
probe/Cr/s0_OH__u0.5.out,scf,1,2,False,2,0.0,LOCKED
probe/Cr/s0_OH__u1.35.out,scf,1,2,False,2,0.0,LOCKED
