sweep,ecutwfc_Ry,ecutrho_Ry,kx,ky,kz,total_energy_Ry,energy_per_atom_eV,total_mag,converged,walltime_s
ecut,40,320,6,6,8,-517.44469238,-1173.3656,4.00,1,222
ecut,50,400,6,6,8,-517.45558627,-1173.3903,4.00,1,232
ecut,60,480,6,6,8,-517.45780895,-1173.3953,4.00,1,242
ecut,70,560,6,6,8,-517.46047424,-1173.4014,4.00,1,242
ecut,80,640,6,6,8,-517.46181713,-1173.4044,4.00,1,243
ecut,90,720,6,6,8,-517.46196895,-1173.4048,4.00,1,267
ecut,100,800,6,6,8,-517.46216034,-1173.4052,4.00,1,268
kpts,80,640,2,2,3,-517.45730426,-1173.3942,4.00,1,35
kpts,80,640,4,4,6,-517.46096931,-1173.4025,4.00,1,128
kpts,80,640,6,6,8,-517.46181713,-1173.4044,4.00,1,245
kpts,80,640,8,8,12,-517.46164634,-1173.4040,4.00,1,546
