formula,n_elements,dG_OH,dG_O,dG_OOH,descriptor,eta_V,limiting_step,formability,single_phase,phase,delta_pct,omega,dHmix_kJ,dSmix_J,vec,abundance,cost_usd_kg,backend,activity,formable,score,pareto,rank,eta_prior
Fe35Mn15Ni18Co32,4,-0.022974183666453762,-0.2787863125002746,3.727531277926866,-0.2558121288338208,2.77631759042714,3,0.906502447950549,True,FCC,2.9808160036456246,6.858242061488488,-2.797601346688625,11.039890431542212,8.529237351551306,0.44915626508468204,14.170927451869456,fairchem:uma-s-1p1,0.9638360132531779,True,0.8436999940286901,True,1,0.3731993879689326
Mn24Fe24Ni25Co17Cu9,5,1.1831136671800473,0.5188741869532392,4.445801482601249,-0.6642394802268081,2.69692729564801,3,0.848181456936575,True,FCC,3.4506552538568958,19.53012353857105,-1.108773288990672,12.970087223392177,8.729483704061481,0.4002175321403933,11.750755303563604,fairchem:uma-s-1p1,1.0,True,0.8344979435090512,True,2,0.37177519519840985
Mn10Cr5Co34Ni22Fe29,5,-0.0025991364737386613,-0.23904402916136452,3.839722667062014,-0.23644489268762586,2.8487666962233784,3,0.9177347245380512,True,FCC,2.50652281319353,7.300309093967741,-2.9034140832684696,11.990143378710629,8.570169647163578,0.3804077142196588,15.949349513037193,fairchem:uma-s-1p1,0.9308338873746502,True,0.8168189038926722,True,3,0.38044120132735015
Mn16Co22Ni33Fe28,4,0.8965814790572985,-0.2761767644579168,4.128177252343997,-1.1727582435152153,3.174354016801914,3,0.9169676072214309,True,FCC,3.049067746852335,5.638928286746078,-3.4399002580730453,11.232837069877428,8.728966737203974,0.4125341063423118,13.717051144470378,fairchem:uma-s-1p1,0.782521860330373,True,0.7488580336000781,True,4,0.3753513096583281
Fe35Cr6Mn13Ni20Co26,5,-0.12454028933298888,-0.7922564033156918,3.7752988359999136,-0.6677161139827029,3.337555239315605,3,0.9159181300796048,True,FCC,2.7997674171931313,7.0967843547110085,-3.0687387276723204,12.31006504169775,8.401271790999285,0.45206082297759786,13.097415602456344,fairchem:uma-s-1p1,0.7081801934494258,True,0.719277700344114,True,5,0.38687840159529197
Cr19Co21Fe27Ni33,4,0.36861479706312605,-0.1558892011869391,0.3697767452283728,-0.5245039982500652,3.320223254771627,4,0.942506767888134,True,FCC,0.29769472199234653,5.978723311866426,-3.4907153482805597,11.323343554443625,8.497571310406435,0.3593781741649594,14.763589970615902,fairchem:uma-s-1p1,0.7160752851742814,True,0.7126653077865728,True,6,0.37266072493367064
Ni29Co19Mn17Fe34,4,-0.30825288711979726,-0.9330086737315086,3.757380652262023,-0.6247557866117114,3.4603893259935314,3,0.9128325580160933,True,FCC,3.152722803685365,5.76239886258851,-3.3612606193110897,11.210766729352695,8.609832293286255,0.4663246577280238,12.165859492564076,fairchem:uma-s-1p1,0.6522266251318249,True,0.6932280115163453,True,7,0.37704903239451637
Fe26Mn23Ni30Cu8Co13,5,1.1498154871503723,-0.2823320909976717,4.434320926893642,-1.432147578148044,3.486653017891314,3,0.8660370719886515,True,FCC,3.4442793824416986,12.440289374952387,-1.690874438410337,12.527953105095257,8.730066910842153,0.4296780714676146,10.83183068604103,fairchem:uma-s-1p1,0.6402629486099471,True,0.665878210195092,False,8,0.3760626267046132
Mn14Ni34Co21Fe31,4,0.9165168063003172,-0.7851428627088539,4.058143359354014,-1.701659669009171,3.6132862220628685,3,0.9163817582123925,True,FCC,2.879487555353909,6.037627411301658,-3.182303877261988,11.083120970442007,8.746378713542828,0.4307417573483719,13.463033175397783,fairchem:uma-s-1p1,0.5825788005650457,True,0.652352279215915,True,9,0.38356733222853534
Cr21Ni24Co15Cu6Fe33,5,0.9432152642809605,-0.6601420914833243,4.142998553717357,-1.6033573557642846,3.5731406452006813,3,0.8701049859111902,True,FCC,0.7039766606760305,29.66370822000666,-0.7696873107736717,12.46804917950337,8.41677660331587,0.41744438594070876,12.05095771502545,fairchem:uma-s-1p1,0.6008659742507809,True,0.6449533600868893,False,10,0.37138220409307854
Co24Fe24Ni35Mn17,4,-0.31540395412866007,-0.7609227508422707,4.103585173733686,-0.4455187967136106,3.634507924575957,3,0.9183853842836138,True,FCC,3.1298194568074713,5.302001036970566,-3.659182599794296,11.272074282914307,8.759988125977806,0.376888916169849,14.540857257346454,fairchem:uma-s-1p1,0.5729118586477312,True,0.6373493278429195,True,11,0.3737293037258447
Cr8Fe34Mn9Ni23Co27,5,0.6172156595339494,-0.3128405443044658,-0.0007464697931339748,-0.9300562038384153,3.6907464697931336,4,0.9210126240506702,True,FCC,2.338977385746098,7.3565288529528985,-2.9499315525150074,12.17154361548313,8.49937380227964,0.4267966179458889,14.121550224817605,fairchem:uma-s-1p1,0.5472939917591808,True,0.6353101066839691,True,12,0.37129432343651936
Cr19Co28Fe25Ni28,4,0.12034184399355252,-0.5298591438761961,-0.11324285172607629,-0.6502009878697487,3.803242851726076,4,0.9402665924037384,True,FCC,0.3050276860670548,6.270725360018862,-3.364461207532564,11.430836733592237,8.460546491763127,0.32856277429627084,16.180567691621285,fairchem:uma-s-1p1,0.4960494702895637,True,0.5958172677251575,False,13,0.37150753390941516
