formula,n_elements,dG_OH,dG_O,dG_OOH,descriptor,eta_V,limiting_step,formability,single_phase,phase,delta_pct,omega,dHmix_kJ,dSmix_J,vec,abundance,cost_usd_kg,backend,n_sites,eta_min,eta_mean,eta_std,eta_max,activity,formable,score,pareto,rank,eta_prior
Fe32Ni17Co34Mn18,4,2.0122214108205516,3.7652400212627484,5.76358947605789,1.7530186104421968,0.7822214108205516,1,0.905977567102803,True,FCC,3.1475032599361144,6.446044771867204,-2.983107163585875,11.106939874038757,8.492881076718641,0.43072319458135006,14.537307931087367,fairchem:uma-s-1p1:rutile,4,0.7822214108205516,1.1769767764798738,0.26339658070083505,1.5102871329100198,1.0,True,0.8579379090471109,True,1,0.37585464783076317
Mn16Co22Ni33Fe28,4,2.208497115401791,3.952710205169872,5.7769583667836475,1.7442130897680808,0.9784971154017912,1,0.9169676072214309,True,FCC,3.049067746852335,5.638928286746078,-3.4399002580730453,11.232837069877428,8.728966737203974,0.4125341063423118,13.717051144470378,fairchem:uma-s-1p1:rutile,4,0.9784971154017912,1.3976010104591958,0.5776567227940621,2.388398094385464,0.9100159088045742,True,0.8126050578371786,True,2,0.3753513096583281
Cr19Co21Fe27Ni33,4,2.2057536168169,4.109411946559085,5.7801412937584775,1.9036583297421852,0.9757536168168999,1,0.942506767888134,True,FCC,0.29769472199234653,5.978723311866426,-3.4907153482805597,11.323343554443625,8.497571310406435,0.3593781741649594,14.763589970615902,fairchem:uma-s-1p1:rutile,4,0.9757536168168999,1.2250448213183804,0.22729764107326253,1.5867275524464461,0.9112736866196333,True,0.8102645085092487,True,3,0.37266072493367064
Cr21Ni24Co15Cu6Fe33,5,2.14026137001914,3.5205700613338493,5.780070574593568,1.3803086913147093,1.0295005132597184,3,0.8701049859111902,True,FCC,0.7039766606760305,29.66370822000666,-0.7696873107736717,12.46804917950337,8.41677660331587,0.41744438594070876,12.05095771502545,fairchem:uma-s-1p1:rutile,4,1.0295005132597184,1.4539995036215114,0.31839164605993175,1.8327886685216903,0.8866330127201294,True,0.7878368793215635,False,4,0.37138220409307854
Cr8Fe34Mn9Ni23Co27,5,2.1916980788113496,4.5701120969947695,5.7666497013987925,2.37841401818342,1.14841401818342,2,0.9210126240506702,True,FCC,2.338977385746098,7.3565288529528985,-2.9499315525150074,12.17154361548313,8.49937380227964,0.4267966179458889,14.121550224817605,fairchem:uma-s-1p1:rutile,4,1.14841401818342,1.2567891383702028,0.1411534591425458,1.4975093824121317,0.8321162109883431,True,0.7777212162985504,True,5,0.37129432343651936
Co24Cr18Ni31Fe27,4,2.369084323706453,4.308734920620573,5.780662878410029,1.9396505969141198,1.1390843237064532,1,0.9405164365275268,True,FCC,0.3017614864774061,6.195061278380909,-3.3782025303922927,11.368599608620823,8.507755306715563,0.34823566802768285,15.39111199665957,fairchem:uma-s-1p1:rutile,4,1.1390843237064532,1.5420367398927777,0.34578070118222276,2.094036223121846,0.8363934804569816,True,0.7699988047922853,False,6,0.37132298026190247
Fe35Mn15Ni18Co32,4,2.426341841830514,3.817119389458192,5.786536234776948,1.3907775476276778,1.196341841830514,1,0.906502447950549,True,FCC,2.9808160036456246,6.858242061488488,-2.797601346688625,11.039890431542212,8.529237351551306,0.44915626508468204,14.170927451869456,fairchem:uma-s-1p1:rutile,4,1.196341841830514,1.3699817879475926,0.2015672209176358,1.7126184187584799,0.8101433353180723,True,0.7668536550611372,True,7,0.3731993879689326
Co24Fe24Ni35Mn17,4,2.379736812358168,4.718513174777577,5.763838690807548,2.338776362419409,1.1497368123581682,1,0.9183853842836138,True,FCC,3.1298194568074713,5.302001036970566,-3.659182599794296,11.272074282914307,8.759988125977806,0.376888916169849,14.540857257346454,fairchem:uma-s-1p1:rutile,4,1.1497368123581682,1.3883690020132895,0.26875309648937196,1.8373243540709554,0.831509765927263,True,0.7666482814826855,False,8,0.3737293037258447
Ni29Co19Mn17Fe34,4,2.032297264605767,3.1347306751207,5.78550095349229,1.1024334105149332,1.4207702783715903,3,0.9128325580160933,True,FCC,3.152722803685365,5.76239886258851,-3.3612606193110897,11.210766729352695,8.609832293286255,0.4663246577280238,12.165859492564076,fairchem:uma-s-1p1:rutile,4,1.4207702783715903,2.0552965715586744,0.7739790776189157,3.3524668208680013,0.707252409802631,True,0.7207409038517483,True,9,0.37704903239451637
Ni19Cr19Co28Fe34,4,1.9278502985617583,2.9954593776146865,5.761044121540836,1.0676090790529282,1.5355847439261496,3,0.9335917833461694,True,FCC,0.33156958671709386,6.915653953384211,-3.01676246729098,11.264206706031874,8.290746926487483,0.4063741639565821,14.51559373797771,fairchem:uma-s-1p1:rutile,4,1.5355847439261496,2.133881830630172,0.6368261731602933,3.200029876351478,0.6546148438794411,True,0.6886597897348878,True,10,0.3807421029586382
