formula,n_elements,dG_OH,dG_O,dG_OOH,descriptor,eta_V,limiting_step,formability,single_phase,phase,delta_pct,omega,dHmix_kJ,dSmix_J,vec,abundance,cost_usd_kg,backend,n_sites,eta_min,eta_mean,eta_std,eta_max,activity,formable,score,pareto,rank,eta_prior
Fe32Ni17Co34Mn18,4,2.012217376692585,3.7652416274931735,5.763581863695508,1.7530242508005887,0.7822173766925848,1,0.905977567102803,True,FCC,3.1475032599361144,6.446044771867204,-2.983107163585875,11.106939874038757,8.492881076718641,0.43072319458135006,14.537307931087367,fairchem:uma-s-1p1:rutile,4,0.7822173766925848,1.1766788559961154,0.2631486330724848,1.5094564842250398,0.9950363505123401,True,0.8554560843032809,True,1,0.37585464783076317
Ni11Cr24Mn18Co29Fe18,5,1.9276129688518417,3.742385774481283,5.744048308563395,1.8147728056294414,0.7716625340821115,3,0.9186560172861309,True,FCC+BCC,3.1380787961782697,6.441884669025367,-3.678766883774919,12.975735305574421,7.828594766722538,0.32986997493265324,14.03441214288677,fairchem:uma-s-1p1:rutile,4,0.7716625340821115,1.427186975056117,0.6014398385951637,2.164391142050136,0.9987769013424181,True,0.8409592508435789,True,2,0.47258498632760837
Cr6Fe33Ni27Mn34,4,2.1589822922134467,4.453604895968146,5.783711762072999,2.2946226037546995,1.0646226037546995,2,0.8901167330991622,True,FCC,3.9349485849376737,4.424805005399443,-4.04839277401255,10.463566129779968,8.07921738953996,0.5405550048121568,6.2472870458762895,fairchem:uma-s-1p1:rutile,4,1.0646226037546995,2.136308731565468,0.9218491110015226,3.5265541138758185,0.8949542227639481,True,0.822623132274154,True,3,0.48324149211598666
Mn19Fe12Ni35Co16Cr18,5,2.160165974807152,4.006942352606847,5.788981083316132,1.8467763777996953,0.930165974807152,1,0.9304921833312965,True,FCC,3.2123301105311337,4.395238143367513,-5.201296341543945,12.801416266183079,8.303949432122998,0.2942186695124248,13.755512423137212,fairchem:uma-s-1p1:rutile,4,0.930165974807152,1.149585720640733,0.15109426780331237,1.3561794895429107,0.9426045642782955,True,0.8092936710410217,True,4,0.4430987247432996
Ni31Cr29Cu5Mn35,4,1.671753141026708,3.8212895274507783,5.8201907804480175,2.1495363864240704,0.9195363864240704,2,0.8987420177881656,True,FCC+BCC,3.7439913722294125,4.677984489848995,-3.907347183349124,10.33481190879033,7.8483353985899145,0.27058017411238283,9.465510287069712,fairchem:uma-s-1p1:rutile,4,0.9195363864240704,2.1629820849176467,0.7207181081657675,2.6299206605320924,0.9463716044054756,True,0.7969244423616639,False,5,0.5294800837912939
Cu8Cr23Mn35Co34,4,1.7833795852606422,3.7299588844451588,5.728170158428343,1.9465792991845166,0.7682112739831841,3,0.8408686072711807,True,FCC+BCC,3.617740292056664,17.085409348604614,-1.0774842921748053,10.569212310239392,7.77884888110609,0.21506696405028802,14.882455511850972,fairchem:uma-s-1p1:rutile,4,0.7682112739831841,3.4236329248746107,3.2418043377229955,8.9725338419845,1.0,True,0.7952739749914117,True,6,0.4913007201093298
Cu12Mn33Co35Fe21,4,2.1512131527999636,4.076342227517818,5.776849114010092,1.9251290747178547,0.9212131527999636,1,0.7892136718208983,True,FCC,3.6526960431045232,78.03444683895006,0.22965249496952939,10.877663078790553,8.36390261247902,0.37550754701965267,13.225774430291104,fairchem:uma-s-1p1:rutile,4,0.9212131527999636,1.5756085720252884,0.4886901593775941,2.163881405330074,0.9457773719672798,True,0.78475429693384,False,7,0.40231686581228665
Co20Ni20Cr20Mn20Cu20,5,2.0259835945677005,3.662390903867651,5.774226154215187,1.6364073092999507,0.8818352503475357,3,0.787125950365365,True,FCC,3.083704670850257,35.76653811027748,0.6400000000000003,13.381611358925287,8.600000000000001,0.18475353353418514,14.260000000000002,fairchem:uma-s-1p1:rutile,4,0.8818352503475357,2.1020520287873414,0.7393566026990536,2.8583026803203784,0.9597325820202467,True,0.7529547828265698,False,8,0.38826025611338855
Cu11Ni34Cr6Fe20Co29,5,2.323556231468141,4.156918431347242,5.755192873361141,1.8333621998791005,1.093556231468141,1,0.7897652620841856,True,FCC,0.8169089034690901,21.482192375451802,0.9853395467333562,12.124900330234823,9.166769073978829,0.2730687545864812,17.443901991209625,fairchem:uma-s-1p1:rutile,4,1.093556231468141,1.315437840453029,0.20294041777379934,1.6371632832946834,0.8847003791819235,True,0.7338935191335136,False,9,0.4682567434371876
Ni19Cr19Co28Fe34,4,1.9306069756513389,2.995454649044154,5.761044330933332,1.0648476733928152,1.5355896818891783,3,0.9335917833461694,True,FCC,0.33156958671709386,6.915653953384211,-3.01676246729098,11.264206706031874,8.290746926487483,0.4063741639565821,14.51559373797771,fairchem:uma-s-1p1:rutile,4,1.5355896818891783,2.1338949382325585,0.6367851493031069,3.1999709468057067,0.7280473005037079,True,0.7253760180470212,True,10,0.3807421029586382
