provider_id,membership,old_candidate_ids,title,doi,publication_date,type,metadata_variants,eligibility_status,method_status
https://openalex.org/W1005587709,BOTH,aaa18deaa02d5587a2121e58,Badania wpływu budowy i modyfikacji powierzchni na właściwości tribologiczne powłok ditlenku tytanu otrzymywanych metodą zol-żel,,2012-01-01,book,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W100796510,BOTH,1f125334d93b8920b7f910da,Effect of external electric field on hydrogen adsorption over activated carbon separated by dielectric materials,https://doi.org/10.37099/mtu.dc.etds/16,2012-01-01,dissertation,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1008789844,BOTH,ccb4170506af6e3d588da727,Corrosion Resistance of Steel/Zinc with Silicate Nanoparticles/Polyurethane Paint Systems in NaCl Solution,,2012-12-01,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W100933691,BOTH,5e93f7e60340af332f606d3b,Κατασκευή νανοσωλήνων TiO2 και μελέτη των παραμέτρων που επηρεάζουν την γεωμετρία τους,,2013-03-26,dissertation,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1013265389,BOTH,273155eb52b4c04d5fb20844,"Al 2 O 3 thin films: relation between structural evolution, mechanical properties and stability",,2011-01-01,dissertation,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1014318227,BOTH,1deb29ade0ffbab2c57cb395,Geochemical and palynological sea-level proxies in hemipelagic sediments: A critical assessment from the Upper Cretaceous of the Czech Republic,https://doi.org/10.1016/j.palaeo.2015.06.018,2015-06-24,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W101647157,BOTH,fe8f8aa4324ebd36d7d930bc,Synthesis of Titanium Dioxide Photocatalyst with the Aid of Supercritical Fluids,,2013-01-01,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1017426757,BOTH,d66020b483a2221d200b1b07,Combination of photoelectrocatalysis and ozonation: A novel and powerful approach applied in Acid Yellow 1 mineralization,https://doi.org/10.1016/j.apcatb.2015.06.013,2015-06-17,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1027117269,BOTH,11db74c14cabf34155204b04,Study of the Effects of Key Processing Parameters on the Cost and Quality of Ti-Al Powders Produced Using the TiPro Process,,2015-01-01,dissertation,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W102799317,BOTH,3f95ccf07c025b195fd7f579,Surface Engineering of Mesoporous Silica for Ti-Based Epoxidation Catalysts,,2012-11-13,dissertation,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W102867900,BOTH,c08373bf27c6dcb65505bcc3,Metal-oxide enrichment and gas-phase characterization of sulfopeptides using Fourier transform ion cyclotron resonance mass spectrometry,,2012-01-01,dissertation,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1031685110,BOTH,fbe66288e209c2c252a29050,Oxidation of ZrB2-TiC-Y2O3 at 1700°C,,2011-01-01,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1033664510,BOTH,ee66393805225be279784d87,(Au@Ag)@Au double shell nanoparticles loaded on rutile TiO2 for photocatalytic decomposition of 2-propanol under visible light irradiation,https://doi.org/10.1016/j.apcatb.2015.06.037,2015-06-23,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1040817959,BOTH,24548783fcdbdc5c1370695c,Nanostructured metal oxides supported on stainless steel wire meshes : versatile monolithic catalysts for environmental and energy applications,,2014-06-20,dissertation,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W104784487,BOTH,92d8b168a2f2d750386a8817,Molecular contamination phenomena in EUVL and mitigation methods with hydrogen,https://doi.org/10.4233/uuid:5c646939-06b3-4768-bd59-947d00417daa,2012-01-01,dissertation,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W108407650,BOTH,08b62addb3f112e2b4b64489,MAGNESIUM-TITANIUM ALLOYS FOR BIOMEDICAL APPLICATIONS,,2014-01-01,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W109191636,BOTH,3dc0923e1a739d0962345e15,Development of Strategies to Minimize the Release of Trace Elements from Coal Waste Sources,,2012-01-01,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1094679291,BOTH,93e931603c01c01164ecabd4,"Variability of aerosols and chemical composition of PM 10 , PM 2.5 and PM 1 on a platform of the Prague underground metro",https://doi.org/10.1016/j.atmosenv.2015.08.013,2015-08-08,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W109535434,BOTH,9b10cf4eff652273f951c166,Synthesis of ilmenite,,2014-01-01,dissertation,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W109735338,BOTH,3f2c0f266742877d32bc87be,"Caracterisation d'une mineralisation aurifere centree sur une breche intrusive, propriete Dubuisson, Val d'Or, Quebec, Canada /",https://doi.org/10.1522/030260929,2011-01-01,book,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W110019897,BOTH,1c5151f86c8a077912c72989,Nano TiO2/Graphene Composites for Photovoltaic and Photocatalytic Materials,,2012-01-01,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
https://openalex.org/W1103832313,BOTH,220423f38c315f63ebcf90cb,Effects of the interaction between TiO2 with different percentages of exposed {001} facets and Cu2+ on biotoxicity in Daphnia magna,https://doi.org/10.1038/srep11121,2015-08-05,article,1,NO_NEW_ELIGIBILITY_DECISION,NOT_CODED
