screen_id,doi,title,publication_date,label_a,label_b,reason_a,reason_b,route,eligibility_status,method_status
S00001,,Badania wpływu budowy i modyfikacji powierzchni na właściwości tribologiczne powłok ditlenku tytanu otrzymywanych metodą zol-żel,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Habilitation on tribological TiO2 sol-gel coatings; unrelated to OER.,Tribological properties of sol-gel TiO2 coatings; unrelated field (Polish).,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00002,10.37099/mtu.dc.etds/16,Effect of external electric field on hydrogen adsorption over activated carbon separated by dielectric materials,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Hydrogen adsorption on TiO2-coated activated carbon under electric field; no OER.,Hydrogen adsorption on TiO2-coated carbon; no OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00003,,Corrosion Resistance of Steel/Zinc with Silicate Nanoparticles/Polyurethane Paint Systems in NaCl Solution,2012-12-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Corrosion resistance of steel/zinc polyurethane coatings,Corrosion resistance of steel/zinc coatings study,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00004,,Κατασκευή νανοσωλήνων TiO2 και μελέτη των παραμέτρων που επηρεάζουν την γεωμετρία τους,2013-03-26,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Thesis on TiO2 nanotube fabrication parameters; no OER.,TiO2 nanotube anodization geometry thesis; no OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00005,,"Al 2 O 3 thin films: relation between structural evolution, mechanical properties and stability",2011-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Al2O3 thin film mechanical/phase stability, no OER",Al2O3 thin film phase stability thesis; no OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00006,10.1016/j.palaeo.2015.06.018,Geochemical and palynological sea-level proxies in hemipelagic sediments: A critical assessment from the Upper Cretaceous of the Czech Republic,2015-06-24,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Paleo-geochemistry sea-level proxy study, unrelated field","Geochemical/palynological sea-level proxies, Cretaceous Czech basin; geology, unrelated.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00007,,Synthesis of Titanium Dioxide Photocatalyst with the Aid of Supercritical Fluids,2013-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Synthesis of TiO2 aerogel photocatalyst; no OER.,"Dissertation on TiO2/WO3/Fe3+ aerogel photocatalyst synthesis; anatase, dye degradation, no OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00008,10.1016/j.apcatb.2015.06.013,Combination of photoelectrocatalysis and ozonation: A novel and powerful approach applied in Acid Yellow 1 mineralization,2015-06-17,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Photoelectrocatalysis/ozonation dye mineralization; not OER/CHE.,Photoelectrocatalysis/ozonation dye mineralization; no OER or rutile mention.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00009,,Study of the Effects of Key Processing Parameters on the Cost and Quality of Ti-Al Powders Produced Using the TiPro Process,2015-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Cost/quality study of TiPro Ti-Al powder process; unrelated.,"Ti-Al powder production process parameters, unrelated",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00010,,Surface Engineering of Mesoporous Silica for Ti-Based Epoxidation Catalysts,2012-11-13,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Ti-based epoxidation catalysts on mesoporous silica dissertation, unrelated","Mesoporous silica Ti-based epoxidation catalyst; unrelated reaction, not OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00011,,Metal-oxide enrichment and gas-phase characterization of sulfopeptides using Fourier transform ion cyclotron resonance mass spectrometry,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Mass spectrometry of sulfopeptides, unrelated field.","mass spectrometry characterization of sulfopeptides, unrelated",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00012,,Oxidation of ZrB2-TiC-Y2O3 at 1700°C,2011-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,High-temperature oxidation of ZrB2-TiC-Y2O3 ceramic; not OER.,"Oxidation of ZrB2-TiC-Y2O3 ceramic at high temperature, not OER electrocatalysis",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00013,10.1016/j.apcatb.2015.06.037,(Au@Ag)@Au double shell nanoparticles loaded on rutile TiO2 for photocatalytic decomposition of 2-propanol under visible light irradiation,2015-06-23,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Au@Ag@Au on rutile TiO2 photocatalytic decomposition; not OER, no abstract.","Au@Ag@Au shells on rutile TiO2 for photocatalytic decomposition; not OER, no calculation.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00014,,Nanostructured metal oxides supported on stainless steel wire meshes : versatile monolithic catalysts for environmental and energy applications,2014-06-20,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Metal oxides on steel mesh dissertation; no OER focus.,"Metal oxide monolithic catalysts thesis, photocatalysis/hydrogen; not OER",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00015,10.4233/uuid:5c646939-06b3-4768-bd59-947d00417daa,Molecular contamination phenomena in EUVL and mitigation methods with hydrogen,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"EUVL mirror contamination dissertation, unrelated",EUVL molecular contamination mitigation thesis; unrelated field.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00016,,MAGNESIUM-TITANIUM ALLOYS FOR BIOMEDICAL APPLICATIONS,2014-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Mg-Ti alloys for biomedical implants; unrelated field.,Mg-Ti alloys for biomedical implants; unrelated field.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00017,,Development of Strategies to Minimize the Release of Trace Elements from Coal Waste Sources,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Coal waste trace element leaching, unrelated field.",Trace element release strategies from coal waste; unrelated field.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
