screen_id,doi,title,publication_date,label_a,label_b,reason_a,reason_b,route,eligibility_status,method_status
S13097,10.1016/j.jcat.2021.08.007,RuO2/TiO2 photocatalysts prepared via a hydrothermal route: Influence of the presence of TiO2 on the reactivity of RuO2 in the artificial photosynthesis reaction,2021-08-08,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"RuO2/TiO2 photocatalyst for CO2 artificial photosynthesis; no OER, no computational overpotential.","Rutile RuO2/TiO2 photocatalytic CO2 reduction (artificial photosynthesis), not OER, no CHE calculation.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S08363,10.3390/min9090552,"Geochronology and Geochemistry of Uraninite and Coffinite: Insights into Ore-Forming Process in the Pegmatite-Hosted Uraniferous Province, North Qinling, Central China",2019-09-13,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Uranium ore geochronology/geochemistry; unrelated field.,"Geochronology of uraninite/coffinite ore deposits; unrelated field, no electrocatalysis.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S21925,10.2138/am-2023-9117,Hyper-enrichment of heavy rare earth elements in highly evolved granites through multiple hydrothermal mobilizations,2024-02-21,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Granite rare-earth-element geochemistry; unrelated field.,"REE enrichment in granites via hydrothermal processes; geology, unrelated to OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S04762,,Deposition and characterisation of RF magnetron sputtered phosphate based glasses,2017-07-13,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Phosphate glass sputtering for biomaterial coatings; unrelated field.,RF sputtered phosphate glass biomaterials coatings; unrelated field.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S15975,10.1002/advs.202201311,High‐Alkaline Water‐Splitting Activity of Mesoporous 3D Heterostructures: An Amorphous‐Shell@Crystalline‐Core Nano‐Assembly of Co‐Ni‐Phosphate Ultrathin‐Nanosheets and V‐ Doped Cobalt‐Nitride Nanowires,2022-06-06,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"CoNiPOx/Co4N alkaline OER+HER catalyst; non-rutile materials, no computation.","Co-Ni phosphate/V-doped Co4N OER catalyst; non-rutile materials, purely experimental.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S16462,10.26434/chemrxiv-2022-scxdh,An overview into advantages and applications of conventional and unconventional hydro(solvo)thermal approaches for novel advanced materials design,2022-08-02,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Review of hydro(solvo)thermal synthesis methods; no OER.,General review of hydro(solvo)thermal synthesis methods; no OER or rutile focus.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S16923,10.1016/j.apsusc.2022.155038,Tailoring mechanical and surface properties of UFG CP-Ti by the low-temperature annealing,2022-09-27,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,UFG Ti annealing for hardness/corrosion; no OER.,UFG Ti annealing mechanical/corrosion/biological properties; not OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00875,10.1016/j.cattod.2012.03.012,Titanium–indium oxy(nitride) with and without RuO2 loading as photocatalysts for hydrogen production under visible light from water,2012-04-13,POSSIBLY_RELEVANT,CLEARLY_IRRELEVANT,"RuO2-loaded oxynitride photocatalyst for water H2 production; rutile RuO2, no abstract.","RuO2-loaded photocatalyst for hydrogen production; HER-only work, no OER.",FULL_TEXT_REVIEW,NOT_DECIDED,NOT_CODED
S20684,10.21203/rs.3.rs-3411955/v1,Water treatment and electrocatalytic Oxygen Evolution Reaction of Cobalt Oxide nanoparticles,2023-10-19,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Co3O4 (spinel) OER electrocatalyst; non-rutile, no computation.","Co3O4 electrocatalytic OER; non-rutile spinel oxide, purely experimental.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S08645,,Anatase to rutile transition in titanium dioxide photocatalytic nanomaterials /,2019-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Anatase-rutile TiO2 photocatalytic dioxane degradation; no OER.,Anatase-to-rutile transition photocatalytic dissertation; no OER or electrocatalysis.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S30311,10.1016/j.surfin.2026.110067,From anatase to rutile: A Raman spectroscopy study of surface transformations in NiTi alloy during air heat treatment,2026-07-07,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Raman study of anatase-rutile transition in NiTi alloy; no OER.,Raman study of anatase-rutile transformation in NiTi alloy; unrelated to OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S19927,10.2139/ssrn.4528167,Distribution Function of Relaxation Times: An Alternative to Classical Methods for Evaluating the Reaction Kinetics of Oxygen Evolution Reaction,2023-01-01,POSSIBLY_RELEVANT,POSSIBLY_RELEVANT,"OER kinetics evaluation method (DFRT); no abstract, material unspecified.","OER kinetics method (DFRT); no material specified, no abstract, cannot rule out rutile.",FULL_TEXT_REVIEW,NOT_DECIDED,NOT_CODED
S14838,10.3390/min12040407,"The Passa Três Granite Intrusion-Related/Hosted Neoproterozoic Gold Deposit (Paraná State, Brazil): Mineralogical, Geochemical, Fluid Inclusion and Sulphur Isotope Constraints",2022-03-25,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Gold deposit mineralogy/geochemistry; unrelated field.,"Gold deposit mineralogy/geochemistry; geology, unrelated field.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S26365,10.1039/d5cy00589b,Modelling hydrogen peroxide adsorption on cerium dioxide: the effect of surface strain,2025-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"H2O2 adsorption on ceria (fluorite); not OER, not rutile.","H2O2 adsorption on ceria (fluorite structure); non-rutile, not OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
