screen_id,provider_id,doi,title,publication_date,type,venue,first_author,author_count,language,abstract_available,membership,query_indices,raw_page,item_index,raw_sha256
S00001,https://openalex.org/W1005587709,,Badania wpływu budowy i modyfikacji powierzchni na właściwości tribologiczne powłok ditlenku tytanu otrzymywanych metodą zol-żel,2012-01-01,book,TU repository (Lodz University of Technology),Ireneusz Piwoński,1,pl,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2012-01-01_2012-12-31/attempt_000001/page_000001.json,0,07e9fa9c66830c78b0adc814c2039a6446cd27d07cc55137852aa98bade92d64
S00002,https://openalex.org/W100796510,10.37099/mtu.dc.etds/16,Effect of external electric field on hydrogen adsorption over activated carbon separated by dielectric materials,2012-01-01,dissertation,,Zheng Zhang,1,en,True,BOTH,4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q04_year_2012-01-01_2012-12-31/attempt_000001/page_000001.json,30,bfce9a181e8ad7a0be4c71f443452a5084374bfdc90f5a323b5efada691a2cf8
S00003,https://openalex.org/W1008789844,,Corrosion Resistance of Steel/Zinc with Silicate Nanoparticles/Polyurethane Paint Systems in NaCl Solution,2012-12-01,article,Americanae (AECID Library),C.R. Tomachuk,3,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2012-01-01_2012-12-31/attempt_000001/page_000005.json,18,8f840441db8eb5a4d3a562a891f8363a672b49af6e8e608c2aaafb83a4432005
S00004,https://openalex.org/W100933691,,Κατασκευή νανοσωλήνων TiO2 και μελέτη των παραμέτρων που επηρεάζουν την γεωμετρία τους,2013-03-26,dissertation,Νημερτής,Ευγενία Αρβανιτά,1,el,True,BOTH,4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q04_year_2013-01-01_2013-12-31/attempt_000001/page_000001.json,43,fa3388d7b848b6aefad29194f8283ccb03a21effd31f0d10ab701f3d8aa09627
S00005,https://openalex.org/W1013265389,,"Al 2 O 3 thin films: relation between structural evolution, mechanical properties and stability",2011-01-01,dissertation,RWTH Publications (RWTH Aachen),Kaiyun Jiang,2,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2011-01-01_2011-12-31/attempt_000001/page_000001.json,62,8c0e8c9b5956cfc538222d988e28d61ab7e0b33aa8cd184d98fd3bc91ae4a588
S00006,https://openalex.org/W1014318227,10.1016/j.palaeo.2015.06.018,Geochemical and palynological sea-level proxies in hemipelagic sediments: A critical assessment from the Upper Cretaceous of the Czech Republic,2015-06-24,article,Palaeogeography Palaeoclimatology Palaeoecology,Kate Olde,10,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000005.json,93,aedfcf0c87ad40866d4914b3fb38c439ef65c7b5c6d155d127ed86d5a64fe5ea
S00007,https://openalex.org/W101647157,,Synthesis of Titanium Dioxide Photocatalyst with the Aid of Supercritical Fluids,2013-01-01,article,Digital Commons - University of South Florida (University of South Florida),Haitao Li,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2013-01-01_2013-12-31/attempt_000001/page_000001.json,80,04a9afe721bb9a78af3fa50c2c3132d3405e1c5098a076183d0da2ee8a3877d1
S00008,https://openalex.org/W1017426757,10.1016/j.apcatb.2015.06.013,Combination of photoelectrocatalysis and ozonation: A novel and powerful approach applied in Acid Yellow 1 mineralization,2015-06-17,article,Applied Catalysis B: Environmental,Guilherme G. Bessegato,4,en,False,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000005.json,82,aedfcf0c87ad40866d4914b3fb38c439ef65c7b5c6d155d127ed86d5a64fe5ea
S00009,https://openalex.org/W1027117269,,Study of the Effects of Key Processing Parameters on the Cost and Quality of Ti-Al Powders Produced Using the TiPro Process,2015-01-01,dissertation,Research Commons (University of Waikato),Kenneth Sichone,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000001.json,0,16cc00a6a1807d96aa3c570e73ec468aff772f099dd4beb3cbdb55dccf02969a
S00010,https://openalex.org/W102799317,,Surface Engineering of Mesoporous Silica for Ti-Based Epoxidation Catalysts,2012-11-13,dissertation,HAL (Le Centre pour la Communication Scientifique Directe),Fang Lin,1,fr,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2012-01-01_2012-12-31/attempt_000001/page_000005.json,2,8f840441db8eb5a4d3a562a891f8363a672b49af6e8e608c2aaafb83a4432005
