screen_id,stratum,doi,title,retrieved,pdf_sha256,pages,text_chars,attempts
S22297,any_LIKELY,10.1002/adfm.202402226,1D Monoclinic IrxRu1‐xO2 Solid Solution with Ru‐Enhanced Electrocatalytic Activity for Acidic Oxygen Evolution Reaction,False,,,,0
S09801,any_LIKELY,10.1021/acsanm.0c01237,Surface Modification of Rutile TiO 2 with Alkaline-Earth Oxide Nanoclusters for Enhanced Oxygen Evolution,False,,,,0
S28930,any_LIKELY,,Computational study of oxygen evolution on pure and doped metal oxides3,True,cd42ddf3efe580fd75dd9ecd920ea813560a56ab070f17fd88d7755f3b01cf78,69,115902,1
S08806,any_LIKELY,10.1021/acs.jpcc.9b05015,Effect of the Solvent on the Oxygen Evolution Reaction at the TiO 2 –Water Interface,False,,,,0
S25971,any_LIKELY,10.1039/d5ta02960k/v2/review2,"Review for ""Bridged Ov-Ru-O-Co coordination induced by Co2+δ substitution in Co/RuO2 Catalysts for Enhanced Alkaline Hydrogen and Oxygen Evolution""",False,,,,0
S30812,any_LIKELY,10.1021/acs.inorgchem.6c02779,Accelerated Deprotonation Triggered by the Se–Ru–O Asymmetric Configuration Enables Acidic Oxygen Evolution,False,,,,0
S16898,any_LIKELY,10.1002/cctc.202200932,On the Role of Interfacial Water Dynamics for Electrochemical Stability of RuO2 and IrO2,False,,,,1
S30818,any_LIKELY,10.1021/acs.langmuir.6c03675,Exploratory Evaluation of Er/Y-Modified RuO2 for Acidic Oxygen Evolution,False,,,,0
S27752,any_LIKELY,10.1021/acscatal.5c03350,Understanding the Influence of Iridium Oxide Catalyst State on the Performance in Oxygen Evolution Reaction,False,,,,1
S24695,any_LIKELY,10.1002/adma.202405447,Dynamic Redox Induced Localized Charge Accumulation Accelerating Proton Exchange Membrane Electrolysis,False,,,,1
S05488,any_LIKELY,10.1149/ma2018-01/30/1782,Oxygen Electro-Adsorption Measurements on IrO2(110) and RuO2(110): Evidence for Scaling Relations and Design Insights for Oxygen-Evolution Catalysts,False,,,,0
S29500,any_LIKELY,10.1126/sciadv.aee7510,Breaking the activity-stability limit in acidic oxygen evolution reaction with dual-iridium active sites,False,,,,1
S18904,any_LIKELY,10.1002/aenm.202300152,Ultrathin Carbon Coating and Defect Engineering Promote RuO 2 as an Efficient Catalyst for Acidic Oxygen Evolution Reaction with Super‐High Durability,False,,,,1
R0097,any_LIKELY,10.1021/acscatal.9b01564,Beyond the Rate-Determining Step in the Oxygen Evolution Reaction over a Single-Crystalline IrO 2 (110) Model Electrode: Kinetic Scaling Relations,False,,,,0
S20979,any_LIKELY,10.26434/chemrxiv-2023-7n4mg,Lattice oxygen evolution in rutile Ru(1−x)Ni(x)O2 electrocatalysts,False,,,,1
R0101,any_LIKELY,10.1021/acscatal.9b04922,Mn-Doped RuO 2 Nanocrystals as Highly Active Electrocatalysts for Enhanced Oxygen Evolution in Acidic Media,False,,,,0
S23023,any_LIKELY,10.1016/j.susc.2024.122542,Asymmetric distortion of orbital hybridization at halogen-doped IrO2 monolayers for acidic water electrolysis,False,,,,0
S17407,any_LIKELY,10.1149/ma2022-02441649mtgabs,"Effects of Titanium Substitution within Ruthenium Oxide on Structure, Oxygen Evolution Activity and Stability",False,,,,0
