# Policy comparison (R6)

policies: all, no-desorbed, intact, adsorbate-intact, two-pathway

| pair | rule | all: verdict (P) | no-desorbed: verdict (P) | intact: verdict (P) | adsorbate-intact: verdict (P) | two-pathway: verdict (P) | R6 |
|---|---|---|---|---|---|---|---|
| Ni31Cr29Cu5Mn35 < Fe25Co25Ni25Cr25 | min | UNRESOLVED / SPREAD-DECIDED (0.749) | UNRESOLVED / SPREAD-DECIDED (0.720) | INVERTED (0.078) | UNRESOLVED (0.749) | UNRESOLVED / SPREAD-DECIDED (0.721) | POLICY-DEPENDENT |
| Fe25Co25Ni25Cr25 < Cu26Ni9Cr31Co33 | min | INVERTED (0.245) | INVERTED (0.275) | INVERTED (0.010) | INVERTED (0.264) | INVERTED (0.257) | - |
| Cu26Ni9Cr31Co33 < Ni34Fe6Cu29Co31 | min | RESOLVED / SPREAD-DECIDED (1.000) | RESOLVED (0.993) | UNRESOLVED (0.694) | RESOLVED (0.995) | RESOLVED / SPREAD-DECIDED (0.998) | POLICY-DEPENDENT |
| Ni34Fe6Cu29Co31 < Cu8Cr23Mn35Co34 | min | INVERTED (0.000) | INVERTED (0.000) | UNRESOLVED / SPREAD-DECIDED (0.888) | INVERTED (0.000) | INVERTED (0.000) | POLICY-DEPENDENT |
| Cu8Cr23Mn35Co34 < Cu22Fe30Co32Mn15 | min | RESOLVED (1.000) | RESOLVED (1.000) | INVERTED (0.348) | RESOLVED (1.000) | RESOLVED (1.000) | POLICY-DEPENDENT |
| Ni31Cr29Cu5Mn35 < Fe25Co25Ni25Cr25 | median | INVERTED (0.404) | UNRESOLVED (0.668) | UNRESOLVED (0.843) | UNRESOLVED (0.823) | UNRESOLVED (0.907) | POLICY-DEPENDENT |
| Fe25Co25Ni25Cr25 < Cu26Ni9Cr31Co33 | median | INVERTED (0.000) | INVERTED (0.028) | INVERTED (0.028) | INVERTED (0.054) | INVERTED (0.013) | - |
| Cu26Ni9Cr31Co33 < Ni34Fe6Cu29Co31 | median | RESOLVED (0.999) | UNRESOLVED (0.915) | UNRESOLVED (0.752) | UNRESOLVED (0.879) | UNRESOLVED (0.921) | POLICY-DEPENDENT |
| Ni34Fe6Cu29Co31 < Cu8Cr23Mn35Co34 | median | UNRESOLVED (0.881) | INVERTED (0.022) | INVERTED (0.452) | INVERTED (0.001) | INVERTED (0.013) | POLICY-DEPENDENT |
| Cu8Cr23Mn35Co34 < Cu22Fe30Co32Mn15 | median | RESOLVED (0.962) | RESOLVED (0.995) | RESOLVED (0.981) | RESOLVED (1.000) | RESOLVED (0.999) | - |
| Ni31Cr29Cu5Mn35 < Fe25Co25Ni25Cr25 | p10 | INVERTED (0.337) | UNRESOLVED / SPREAD-DECIDED (0.497) | INVERTED (0.262) | UNRESOLVED (0.767) | INVERTED (0.419) | POLICY-DEPENDENT |
| Fe25Co25Ni25Cr25 < Cu26Ni9Cr31Co33 | p10 | INVERTED (0.142) | INVERTED (0.370) | INVERTED (0.030) | INVERTED (0.345) | INVERTED (0.250) | - |
| Cu26Ni9Cr31Co33 < Ni34Fe6Cu29Co31 | p10 | RESOLVED (1.000) | RESOLVED (0.987) | UNRESOLVED (0.729) | RESOLVED (0.986) | RESOLVED (0.991) | POLICY-DEPENDENT |
| Ni34Fe6Cu29Co31 < Cu8Cr23Mn35Co34 | p10 | INVERTED (0.086) | INVERTED (0.000) | INVERTED (0.491) | INVERTED (0.000) | INVERTED (0.000) | - |
| Cu8Cr23Mn35Co34 < Cu22Fe30Co32Mn15 | p10 | RESOLVED (0.992) | RESOLVED (1.000) | UNRESOLVED (0.879) | RESOLVED (1.000) | RESOLVED (1.000) | POLICY-DEPENDENT |
| Ni31Cr29Cu5Mn35 < Fe25Co25Ni25Cr25 | mean | UNRESOLVED (0.660) | UNRESOLVED (0.588) | UNRESOLVED (0.830) | UNRESOLVED (0.865) | UNRESOLVED (0.853) | - |
| Fe25Co25Ni25Cr25 < Cu26Ni9Cr31Co33 | mean | INVERTED (0.000) | INVERTED (0.009) | INVERTED (0.002) | INVERTED (0.018) | INVERTED (0.003) | - |
| Cu26Ni9Cr31Co33 < Ni34Fe6Cu29Co31 | mean | RESOLVED (1.000) | RESOLVED (0.987) | UNRESOLVED (0.752) | RESOLVED (0.968) | RESOLVED (0.997) | POLICY-DEPENDENT |
| Ni34Fe6Cu29Co31 < Cu8Cr23Mn35Co34 | mean | INVERTED (0.075) | INVERTED (0.000) | INVERTED (0.344) | INVERTED (0.000) | INVERTED (0.000) | - |
| Cu8Cr23Mn35Co34 < Cu22Fe30Co32Mn15 | mean | RESOLVED (1.000) | RESOLVED (1.000) | RESOLVED (0.978) | RESOLVED (1.000) | RESOLVED (1.000) | - |

policy-dependent boundaries: 11 of 20

written: C:\Users\frank\sts-electrocatalyst\results\site_census_2026-09-06\readout\rank_resolution_compare.json
