
  =-------------------------------------------------------------------------------=

                                 Hubbard U parameters:

       site n.  type  label  spin  new_type  new_label  manifold  Hubbard U (eV)
         1        1   Ti       1      1         Ti         3d       4.2245
         2        1   Ti       1      1         Ti         3d       4.2245

  =-------------------------------------------------------------------------------=


          chi0 matrix :
   -0.507295    0.003536    0.012063    0.003536    0.000797    0.003536    0.001280    0.003536
    0.000797    0.003536    0.001280    0.003536    0.001158    0.003536    0.001045    0.003536

    0.003536   -0.507295    0.003536    0.012063    0.003536    0.000797    0.003536    0.001280
    0.003536    0.000797    0.003536    0.001280    0.003536    0.001158    0.003536    0.001045

    0.012063    0.003536   -0.507295    0.003536    0.001280    0.003536    0.000797    0.003536
    0.001280    0.003536    0.000797    0.003536    0.001045    0.003536    0.001158    0.003536

    0.003536    0.012063    0.003536   -0.507295    0.003536    0.001280    0.003536    0.000797
    0.003536    0.001280    0.003536    0.000797    0.003536    0.001045    0.003536    0.001158

    0.000797    0.003536    0.001280    0.003536   -0.507295    0.003536    0.012063    0.003536
    0.001158    0.003536    0.001045    0.003536    0.000797    0.003536    0.001280    0.003536

    0.003536    0.000797    0.003536    0.001280    0.003536   -0.507295    0.003536    0.012063
    0.003536    0.001158    0.003536    0.001045    0.003536    0.000797    0.003536    0.001280

    0.001280    0.003536    0.000797    0.003536    0.012063    0.003536   -0.507295    0.003536
    0.001045    0.003536    0.001158    0.003536    0.001280    0.003536    0.000797    0.003536

    0.003536    0.001280    0.003536    0.000797    0.003536    0.012063    0.003536   -0.507295
    0.003536    0.001045    0.003536    0.001158    0.003536    0.001280    0.003536    0.000797

    0.000797    0.003536    0.001280    0.003536    0.001158    0.003536    0.001045    0.003536
   -0.507295    0.003536    0.012063    0.003536    0.000797    0.003536    0.001280    0.003536

    0.003536    0.000797    0.003536    0.001280    0.003536    0.001158    0.003536    0.001045
    0.003536   -0.507295    0.003536    0.012063    0.003536    0.000797    0.003536    0.001280

    0.001280    0.003536    0.000797    0.003536    0.001045    0.003536    0.001158    0.003536
    0.012063    0.003536   -0.507295    0.003536    0.001280    0.003536    0.000797    0.003536

    0.003536    0.001280    0.003536    0.000797    0.003536    0.001045    0.003536    0.001158
    0.003536    0.012063    0.003536   -0.507295    0.003536    0.001280    0.003536    0.000797

    0.001158    0.003536    0.001045    0.003536    0.000797    0.003536    0.001280    0.003536
    0.000797    0.003536    0.001280    0.003536   -0.507295    0.003536    0.012063    0.003536

    0.003536    0.001158    0.003536    0.001045    0.003536    0.000797    0.003536    0.001280
    0.003536    0.000797    0.003536    0.001280    0.003536   -0.507295    0.003536    0.012063

    0.001045    0.003536    0.001158    0.003536    0.001280    0.003536    0.000797    0.003536
    0.001280    0.003536    0.000797    0.003536    0.012063    0.003536   -0.507295    0.003536

    0.003536    0.001045    0.003536    0.001158    0.003536    0.001280    0.003536    0.000797
    0.003536    0.001280    0.003536    0.000797    0.003536    0.012063    0.003536   -0.507295


          chi matrix :
   -0.161352    0.000162    0.000631    0.000162    0.000055    0.000162    0.000009    0.000162
    0.000055    0.000162    0.000009    0.000162    0.000055    0.000162    0.000001    0.000162

