
  =-------------------------------------------------------------------------------=

                                 Hubbard U parameters:

       site n.  type  label  spin  new_type  new_label  manifold  Hubbard U (eV)
         1        1   Ti       1      1         Ti         3d       5.6743
         2        1   Ti       1      1         Ti         3d       5.6743

  =-------------------------------------------------------------------------------=


          chi0 matrix :
   -0.407642    0.001715    0.004260    0.000432    0.004260    0.001715    0.000308    0.000025
    0.000281    0.000074    0.000281    0.000025    0.000308    0.001715    0.000281    0.000432
    0.000281    0.001715    0.000308    0.000025    0.000281    0.000074    0.000281    0.000025
    0.000206    0.000091    0.000120    0.000044    0.000120    0.000091    0.000206    0.000025
    0.000120    0.000074    0.000120    0.000025    0.000308    0.001715    0.000281    0.000432
    0.000281    0.001715    0.000206    0.000025    0.000120    0.000074    0.000120    0.000025
    0.000206    0.001715    0.000120    0.000432    0.000120    0.001715

    0.001715   -0.407642    0.001715    0.004260    0.000432    0.004260    0.001715    0.000308
    0.001715    0.000281    0.000432    0.000281    0.000025    0.000308    0.000025    0.000281
    0.000074    0.000281    0.001715    0.000308    0.001715    0.000281    0.000432    0.000281
    0.001715    0.000206    0.001715    0.000120    0.000432    0.000120    0.000025    0.000206
    0.000025    0.000120    0.000074    0.000120    0.000025    0.000308    0.000025    0.000281
    0.000074    0.000281    0.000025    0.000206    0.000025    0.000120    0.000074    0.000120
    0.000091    0.000206    0.000091    0.000120    0.000044    0.000120

    0.004260    0.001715   -0.407642    0.001715    0.004260    0.000432    0.000281    0.000025
    0.000308    0.000025    0.000281    0.000074    0.000281    0.001715    0.000308    0.001715
    0.000281    0.000432    0.000281    0.000025    0.000308    0.000025    0.000281    0.000074
    0.000120    0.000091    0.000206    0.000091    0.000120    0.000044    0.000120    0.000025
    0.000206    0.000025    0.000120    0.000074    0.000281    0.001715    0.000308    0.001715
    0.000281    0.000432    0.000120    0.000025    0.000206    0.000025    0.000120    0.000074
    0.000120    0.001715    0.000206    0.001715    0.000120    0.000432

    0.000432    0.004260    0.001715   -0.407642    0.001715    0.004260    0.000432    0.000281
    0.001715    0.000308    0.001715    0.000281    0.000074    0.000281    0.000025    0.000308
    0.000025    0.000281    0.000432    0.000281    0.001715    0.000308    0.001715    0.000281
    0.000432    0.000120    0.001715    0.000206    0.001715    0.000120    0.000074    0.000120
    0.000025    0.000206    0.000025    0.000120    0.000074    0.000281    0.000025    0.000308
    0.000025    0.000281    0.000074    0.000120    0.000025    0.000206    0.000025    0.000120
    0.000044    0.000120    0.000091    0.000206    0.000091    0.000120

    0.004260    0.000432    0.004260    0.001715   -0.407642    0.001715    0.000281    0.000074
    0.000281    0.000025    0.000308    0.000025    0.000281    0.000432    0.000281    0.001715
    0.000308    0.001715    0.000281    0.000074    0.000281    0.000025    0.000308    0.000025
    0.000120    0.000044    0.000120    0.000091    0.000206    0.000091    0.000120    0.000074
    0.000120    0.000025    0.000206    0.000025    0.000281    0.000432    0.000281    0.001715
    0.000308    0.001715    0.000120    0.000074    0.000120    0.000025    0.000206    0.000025
    0.000120    0.000432    0.000120    0.001715    0.000206    0.001715

    0.001715    0.004260    0.000432    0.004260    0.001715   -0.407642    0.001715    0.000281
    0.000432    0.000281    0.001715    0.000308    0.000025    0.000281    0.000074    0.000281
    0.000025    0.000308    0.001715    0.000281    0.000432    0.000281    0.001715    0.000308
    0.001715    0.000120    0.000432    0.000120    0.001715    0.000206    0.000025    0.000120
    0.000074    0.000120    0.000025    0.000206    0.000025    0.000281    0.000074    0.000281
    0.000025    0.000308    0.000025    0.000120    0.000074    0.000120    0.000025    0.000206
    0.000091    0.000120    0.000044    0.000120    0.000091    0.000206

    0.000308    0.001715    0.000281    0.000432    0.000281    0.001715   -0.407642    0.001715
    0.004260    0.000432    0.004260    0.001715    0.000308    0.000025    0.000281    0.000074
    0.000281    0.000025    0.000206    0.000025    0.000120    0.000074    0.000120    0.000025
    0.000308    0.000025    0.000281    0.000074    0.000281    0.000025    0.000206    0.000091
    0.000120    0.000044    0.000120    0.000091    0.000206    0.001715    0.000120    0.000432
    0.000120    0.001715    0.000308    0.001715    0.000281    0.000432    0.000281    0.001715
    0.000206    0.000025    0.000120    0.000074    0.000120    0.000025

